Gene,log2FoldChange,pvalue,padj,logpvalue,significance
SLC23A1,0.1482,0.7042,0.9994,0.152303979,Not Significant
MZB1,0.01681,0.9628,0.9994,0.016463918,Not Significant
C5orf65,0.2512,0.4423,0.9994,0.354283061,Not Significant
SPATA24,-0.006423,0.9809,0.9994,0.008375265,Not Significant
DNAJC18,0.1412,0.514,0.9994,0.289036881,Not Significant
UBE2D2,-0.03165,0.8301,0.9994,0.080869586,Not Significant
CXXC5,-0.04205,0.8662,0.9994,0.062381821,Not Significant
NRG2,0.2314,0.4723,0.9994,0.325782054,Not Significant
PURA,-0.323,0.1251,0.9994,0.90274269,Not Significant
IGIP,-0.1584,0.6223,0.9994,0.206000199,Not Significant
PFDN1,0.1165,0.4337,0.9994,0.362810578,Not Significant
HBEGF,0.172,0.5656,0.9994,0.247490599,Not Significant
SLC4A9,-0.3397,0.3853,0.9994,0.414200991,Not Significant
ANKHD1,-0.3446,0.243,0.9994,0.614393726,Not Significant
ANKHD1-EIF4EBP3,-0.2047,0.5436,0.9994,0.264720552,Not Significant
EIF4EBP3,-0.2992,0.4047,0.9994,0.392866796,Not Significant
APBB3,0.1284,0.6756,0.9994,0.170310359,Not Significant
SLC35A4,0.07145,0.8373,0.9994,0.077118909,Not Significant
CD14,-0.1121,0.775,0.9994,0.110698297,Not Significant
TMCO6,-0.0477,0.7884,0.9994,0.103253384,Not Significant
NDUFA2,0.101,0.5697,0.9994,0.244353781,Not Significant
IK,0.08702,0.5818,0.9994,0.235226283,Not Significant
WDR55,-0.05256,0.7179,0.9994,0.143936047,Not Significant
DND1,0.08916,0.7464,0.9994,0.127028369,Not Significant
HARS,0.02472,0.8346,0.9994,0.07852162,Not Significant
HARS2,-0.03427,0.7324,0.9994,0.135251664,Not Significant
ZMAT2,-0.02004,0.8435,0.9994,0.073914913,Not Significant
VTRNA1-3,-0.09748,0.8026,0.9994,0.095500845,Not Significant
PCDHA1,0.4491,0.1774,0.9994,0.751046385,Not Significant
PCDHA2,-0.2434,0.4804,0.9994,0.318397001,Not Significant
PCDHA3,-0.08176,0.7887,0.9994,0.103088159,Not Significant
PCDHA4,-0.05501,0.8792,0.9994,0.055912321,Not Significant
PCDHA5,-0.3617,0.3525,0.9994,0.452840879,Not Significant
PCDHA7,0.03553,0.9266,0.9994,0.033107704,Not Significant
PCDHA8,0.1311,0.6927,0.9994,0.159454812,Not Significant
PCDHA9,-0.2443,0.5163,0.9994,0.287097875,Not Significant
PCDHA10,-0.1015,0.7857,0.9994,0.104743247,Not Significant
PCDHA11,-0.0204,0.9549,0.9994,0.020042107,Not Significant
PCDHA12,-0.1669,0.5486,0.9994,0.260744197,Not Significant
PCDHAC1,-0.2908,0.3525,0.9994,0.452840879,Not Significant
PCDHAC2,-0.2266,0.4747,0.9994,0.323580768,Not Significant
PCDHB1,-0.4957,0.2016,0.9994,0.695509472,Not Significant
PCDHB2,-0.1655,0.3475,0.9994,0.459045191,Not Significant
PCDHB3,-0.03571,0.8943,0.9994,0.048516769,Not Significant
PCDHB4,0.0582,0.8496,0.9994,0.070785496,Not Significant
PCDHB5,0.2918,0.444,0.9994,0.35261703,Not Significant
PCDHB16,0.06646,0.8553,0.9994,0.067881528,Not Significant
PCDHB9,0.06687,0.7875,0.9994,0.103749438,Not Significant
PCDHB12,0.1529,0.6335,0.9994,0.198253381,Not Significant
PCDHB13,0.3402,0.3244,0.9994,0.488919154,Not Significant
PCDHB14,0.02356,0.9249,0.9994,0.033905221,Not Significant
PCDHB19P,0.5919,0.1158,0.9994,0.936291441,Not Significant
PCDHB15,-0.164,0.6401,0.9994,0.193752173,Not Significant
TAF7,-0.1161,0.5265,0.9994,0.278601624,Not Significant
PCDHGA2,0.08787,0.8166,0.9994,0.087990624,Not Significant
PCDHGA4,0.02698,0.9406,0.9994,0.026595026,Not Significant
PCDHGB2,-0.293,0.3186,0.9994,0.496754229,Not Significant
PCDHGA5,-0.3834,0.307,0.9994,0.512861625,Not Significant
PCDHGB3,0.1255,0.7301,0.9994,0.136617652,Not Significant
PCDHGA6,0.4781,0.2205,0.9994,0.656591406,Not Significant
PCDHGA7,0.3425,0.3508,0.9994,0.454940415,Not Significant
PCDHGA9,-0.2801,0.3855,0.9994,0.413975618,Not Significant
PCDHGB6,0.194,0.4373,0.9994,0.359220523,Not Significant
PCDHGA10,-0.2654,0.4941,0.9994,0.306185146,Not Significant
PCDHGA11,-0.2218,0.5691,0.9994,0.244811414,Not Significant
PCDHGB8P,0.01926,0.9607,0.9994,0.017412209,Not Significant
PCDHGA12,0.07129,0.8527,0.9994,0.069203737,Not Significant
PCDHGC3,-0.06354,0.8161,0.9994,0.088256622,Not Significant
PCDHGC4,0.3438,0.354,0.9994,0.450996738,Not Significant
PCDHGC5,-0.1052,0.7799,0.9994,0.10796108,Not Significant
DIAPH1,-0.01071,0.9555,0.9994,0.019769309,Not Significant
HDAC3,-0.02359,0.935,0.9994,0.029188389,Not Significant
RELL2,0.1352,0.6538,0.9994,0.184555084,Not Significant
FCHSD1,-0.133,0.6778,0.9994,0.168898435,Not Significant
PCDH1,0.1085,0.7265,0.9994,0.138764381,Not Significant
KIAA0141,-0.1826,0.5016,0.9994,0.299642472,Not Significant
PCDH12,-0.1454,0.7088,0.9994,0.149476291,Not Significant
RNF14,0.08388,0.5333,0.9994,0.273028416,Not Significant
GNPDA1,0.1412,0.408,0.9994,0.389339837,Not Significant
NDFIP1,0.103,0.5596,0.9994,0.252122294,Not Significant
SPRY4,0.2316,0.4585,0.9994,0.33866066,Not Significant
FGF1,-0.1542,0.6919,0.9994,0.159956669,Not Significant
ARHGAP26,-0.01234,0.9575,0.9994,0.018861217,Not Significant
NR3C1,-0.3357,0.1483,0.9994,0.828858849,Not Significant
YIPF5,0.04891,0.8024,0.9994,0.09560908,Not Significant
KCTD16,0.2976,0.1455,0.9994,0.837137007,Not Significant
PRELID2,-0.1803,0.6332,0.9994,0.198459094,Not Significant
PLAC8L1,-0.1325,0.7089,0.9994,0.149415024,Not Significant
LARS,-0.04093,0.737,0.9994,0.132532512,Not Significant
PPP2R2B,0.03234,0.8937,0.9994,0.048808242,Not Significant
STK32A,0.08715,0.7885,0.9994,0.103198302,Not Significant
DPYSL3,0.2129,0.3101,0.9994,0.508498234,Not Significant
LOC153469,-0.2813,0.4705,0.9994,0.327440372,Not Significant
JAKMIP2,0.2613,0.2003,0.9994,0.698319051,Not Significant
SPINK6,-0.1811,0.6413,0.9994,0.19293876,Not Significant
SPINK13,0.175,0.654,0.9994,0.184422252,Not Significant
FBXO38,0.1068,0.6279,0.9994,0.202109517,Not Significant
ADRB2,-0.4196,0.2616,0.9994,0.58236226,Not Significant
SH3TC2,-0.2856,0.4661,0.9994,0.331520897,Not Significant
ABLIM3,0.4458,0.187,0.9994,0.728158393,Not Significant
AFAP1L1,-0.3909,0.3148,0.9994,0.501965276,Not Significant
GRPEL2,0.1234,0.6015,0.9994,0.220764368,Not Significant
PCYOX1L,-0.01568,0.9242,0.9994,0.034234036,Not Significant
CSNK1A1,-0.01449,0.8886,0.9994,0.051293691,Not Significant
ARHGEF37,-0.2303,0.5483,0.9994,0.260981754,Not Significant
PPARGC1B,0.4125,0.2929,0.9994,0.533280628,Not Significant
HMGXB3,-0.03496,0.8504,0.9994,0.070376748,Not Significant
CSF1R,0.232,0.5369,0.9994,0.270106596,Not Significant
SLC6A7,0.1604,0.6508,0.9994,0.186552456,Not Significant
TCOF1,-0.03887,0.7707,0.9994,0.113114641,Not Significant
CD74,-0.4562,0.2348,0.9994,0.629301907,Not Significant
RPS14,-0.263,0.3657,0.9994,0.43687504,Not Significant
NDST1,0.04722,0.78,0.9994,0.107905397,Not Significant
DCTN4,0.06317,0.7141,0.9994,0.146240967,Not Significant
GPX3,0.2036,0.4931,0.9994,0.307064997,Not Significant
TNIP1,-0.1789,0.633,0.9994,0.19859629,Not Significant
CCDC69,-0.2804,0.4367,0.9994,0.359816808,Not Significant
SLC36A1,-0.1549,0.5398,0.9994,0.26776712,Not Significant
FAT2,0.1167,0.7052,0.9994,0.151687696,Not Significant
ATOX1,-0.1518,0.407,0.9994,0.390405591,Not Significant
G3BP1,-0.05238,0.7446,0.9994,0.128076968,Not Significant
GLRA1,-0.1931,0.6138,0.9994,0.211973116,Not Significant
NMUR2,-0.07367,0.8507,0.9994,0.070223567,Not Significant
GRIA1,0.05578,0.832,0.9994,0.079876674,Not Significant
MFAP3,0.1856,0.5479,0.9994,0.2612987,Not Significant
GALNT10,-0.3383,0.3524,0.9994,0.4529641,Not Significant
FLJ38109,-0.2188,0.5672,0.9994,0.246263778,Not Significant
SAP30L,0.04703,0.839,0.9994,0.076238039,Not Significant
LARP1,0.03234,0.8396,0.9994,0.07592757,Not Significant
C5orf4,-0.1999,0.5334,0.9994,0.272946989,Not Significant
CNOT8,0.09349,0.4108,0.9994,0.386369565,Not Significant
GEMIN5,0.05622,0.6919,0.9994,0.159956669,Not Significant
MRPL22,-0.1897,0.2592,0.9994,0.586365003,Not Significant
PPP1R2P3,0.1059,0.6296,0.9994,0.200935281,Not Significant
HAVCR2,-0.2553,0.5099,0.9994,0.292514988,Not Significant
MED7,0.1335,0.6475,0.9994,0.188760227,Not Significant
ITK,-0.3904,0.2718,0.9994,0.565750548,Not Significant
CYFIP2,0.02182,0.8834,0.9994,0.053842605,Not Significant
FNDC9,0.4416,0.2075,0.9994,0.682981899,Not Significant
NIPAL4,-0.1445,0.7126,0.9994,0.147154182,Not Significant
ADAM19,-0.2025,0.3966,0.9994,0.40164729,Not Significant
SOX30,0.3844,0.3258,0.9994,0.48704892,Not Significant
LSM11,0.146,0.6837,0.9994,0.16513442,Not Significant
CLINT1,-0.02482,0.8343,0.9994,0.078677756,Not Significant
EBF1,0.07528,0.8106,0.9994,0.091193401,Not Significant
RNF145,-0.08734,0.6664,0.9994,0.176265012,Not Significant
UBLCP1,0.1125,0.662,0.9994,0.179142011,Not Significant
ADRA1B,0.1942,0.6184,0.9994,0.208730519,Not Significant
TTC1,0.07002,0.6889,0.9994,0.161843815,Not Significant
PWWP2A,-0.07629,0.5112,0.9994,0.291409155,Not Significant
FABP6,-0.3153,0.4206,0.9994,0.376130732,Not Significant
CCNJL,-0.293,0.1864,0.9994,0.729554092,Not Significant
C1QTNF2,-0.5904,0.1295,0.9994,0.887730232,Not Significant
SLU7,0.02549,0.8903,0.9994,0.050463627,Not Significant
PTTG1,-0.4541,0.1108,0.9994,0.95546024,Not Significant
ATP10B,-0.195,0.6189,0.9994,0.208379517,Not Significant
GABRB2,0.1116,0.7397,0.9994,0.130944381,Not Significant
GABRA1,0.4216,0.2797,0.9994,0.553307534,Not Significant
GABRG2,0.2371,0.4846,0.9994,0.31461659,Not Significant
CCNG1,-0.4422,0.1177,0.9994,0.929223537,Not Significant
NUDCD2,-0.174,0.2911,0.9994,0.535957795,Not Significant
HMMR,-0.5367,0.1226,0.9994,0.91150953,Not Significant
MAT2B,0.07174,0.7457,0.9994,0.127435857,Not Significant
ODZ2,-0.115,0.5702,0.9994,0.243972787,Not Significant
WWC1,0.2319,0.3337,0.9994,0.476643793,Not Significant
RARS,0.04358,0.8765,0.9994,0.05724808,Not Significant
SLIT3,0.1501,0.6613,0.9994,0.179601477,Not Significant
MIR218-2,0.333,0.3463,0.9994,0.460547508,Not Significant
CCDC99,-0.0819,0.7592,0.9994,0.119643801,Not Significant
DOCK2,-0.0228,0.9471,0.9994,0.023604163,Not Significant
FAM196B,0.4622,0.1707,0.9994,0.767766479,Not Significant
C5orf58,-0.251,0.5189,0.9994,0.284916329,Not Significant
LCP2,-0.1576,0.6596,0.9994,0.180719353,Not Significant
KCNIP1,0.1601,0.5875,0.9994,0.230992129,Not Significant
RANBP17,-0.17,0.3371,0.9994,0.472241247,Not Significant
TLX3,0.1552,0.6892,0.9994,0.161654731,Not Significant
FBXW11,-0.0217,0.9145,0.9994,0.03881629,Not Significant
STK10,-0.2081,0.2847,0.9994,0.545612533,Not Significant
UBTD2,0.01374,0.9277,0.9994,0.032592443,Not Significant
SH3PXD2B,-0.08732,0.7405,0.9994,0.130474937,Not Significant
NEURL1B,0.1671,0.6244,0.9994,0.204537106,Not Significant
DUSP1,-0.2326,0.5346,0.9994,0.271971046,Not Significant
ERGIC1,-0.1413,0.3382,0.9994,0.470826397,Not Significant
LOC100268168,0.04292,0.8551,0.9994,0.067983094,Not Significant
RPL26L1,0.01414,0.9444,0.9994,0.024844022,Not Significant
ATP6V0E1,-0.2655,0.2903,0.9994,0.537152964,Not Significant
BNIP1,-0.09779,0.6039,0.9994,0.21903497,Not Significant
STC2,-0.2735,0.3273,0.9994,0.485053995,Not Significant
LOC285593,0.3868,0.323,0.9994,0.490797478,Not Significant
BOD1,-0.1225,0.6552,0.9994,0.183626111,Not Significant
HMP19,0.3376,0.266,0.9994,0.575118363,Not Significant
MSX2,-0.316,0.4197,0.9994,0.377061031,Not Significant
DRD1,-0.05366,0.8897,0.9994,0.050756409,Not Significant
SFXN1,0.06232,0.6893,0.9994,0.161591722,Not Significant
HRH2,-0.5799,0.1327,0.9994,0.877129077,Not Significant
CPLX2,0.2291,0.5506,0.9994,0.259163793,Not Significant
THOC3,-0.0822,0.72,0.9994,0.142667504,Not Significant
LOC643201,-0.435,0.265,0.9994,0.576754126,Not Significant
C5orf25,-0.1402,0.518,0.9994,0.28567024,Not Significant
KIAA1191,-0.00766,0.9617,0.9994,0.016960384,Not Significant
ARL10,0.08661,0.6725,0.9994,0.172307711,Not Significant
NOP16,-0.05486,0.7233,0.9994,0.140681535,Not Significant
HIGD2A,-0.1824,0.3236,0.9994,0.489991487,Not Significant
CLTB,0.1417,0.4971,0.9994,0.303556237,Not Significant
FAF2,0.09603,0.6364,0.9994,0.196269829,Not Significant
CDHR2,0.07772,0.8233,0.9994,0.084441885,Not Significant
GPRIN1,0.3051,0.3441,0.9994,0.463315327,Not Significant
SNCB,0.3659,0.2986,0.9994,0.524910197,Not Significant
TSPAN17,0.03485,0.8438,0.9994,0.073760479,Not Significant
UNC5A,0.1875,0.6303,0.9994,0.200452693,Not Significant
HK3,0.4323,0.2424,0.9994,0.615467385,Not Significant
FGFR4,-0.09301,0.7976,0.9994,0.098214855,Not Significant
NSD1,-0.03705,0.8266,0.9994,0.082704599,Not Significant
RAB24,0.0747,0.7316,0.9994,0.135726303,Not Significant
PRELID1,0.1417,0.5421,0.9994,0.265920593,Not Significant
LMAN2,-0.2242,0.2738,0.9994,0.562566556,Not Significant
F12,0.03803,0.914,0.9994,0.039053804,Not Significant
GRK6,-0.002739,0.981,0.9994,0.008330993,Not Significant
LOC340037,0.1523,0.5992,0.9994,0.222428195,Not Significant
DBN1,0.1012,0.4843,0.9994,0.314885531,Not Significant
DOK3,0.2258,0.4137,0.9994,0.383314479,Not Significant
DDX41,-0.1509,0.2306,0.9994,0.637140697,Not Significant
TMED9,-0.1467,0.4122,0.9994,0.384892013,Not Significant
B4GALT7,0.02441,0.9365,0.9994,0.028492218,Not Significant
LOC202181,-0.1212,0.7121,0.9994,0.147459014,Not Significant
LOC728554,-0.2284,0.5542,0.9994,0.256333479,Not Significant
N4BP3,0.0636,0.8623,0.9994,0.064341614,Not Significant
RMND5B,0.1592,0.2904,0.9994,0.537003388,Not Significant
NHP2,-0.03407,0.8402,0.9994,0.075617323,Not Significant
GMCL1P1,-0.08392,0.804,0.9994,0.094743951,Not Significant
HNRNPAB,0.1623,0.4514,0.9994,0.345438445,Not Significant
COL23A1,-0.1789,0.646,0.9994,0.189767482,Not Significant
CLK4,-0.1077,0.7792,0.9994,0.108351056,Not Significant
ZNF354A,0.01097,0.9459,0.9994,0.024154775,Not Significant
ZNF354B,-0.04957,0.8051,0.9994,0.094150173,Not Significant
ZFP2,-0.138,0.6859,0.9994,0.163739197,Not Significant
ZNF454,0.4712,0.202,0.9994,0.694648631,Not Significant
GRM6,0.2854,0.4612,0.9994,0.336110701,Not Significant
ZNF879,0.1985,0.5518,0.9994,0.258218304,Not Significant
ZNF354C,0.1075,0.6449,0.9994,0.190507623,Not Significant
ADAMTS2,-0.4762,0.2125,0.9994,0.672641066,Not Significant
RUFY1,-0.1784,0.263,0.9994,0.580044252,Not Significant
HNRNPH1,-0.06814,0.7149,0.9994,0.145754703,Not Significant
MAML1,-0.2225,0.2779,0.9994,0.556111453,Not Significant
LTC4S,0.05125,0.8939,0.9994,0.048711063,Not Significant
MGAT4B,-0.03042,0.6726,0.9994,0.172243137,Not Significant
C5orf45,-0.0342,0.8307,0.9994,0.08055579,Not Significant
TBC1D9B,-0.1259,0.6772,0.9994,0.169283051,Not Significant
RNF130,-0.1273,0.4175,0.9994,0.37934352,Not Significant
RASGEF1C,0.4668,0.1467,0.9994,0.833569886,Not Significant
MAPK9,0.1766,0.2967,0.9994,0.527682454,Not Significant
CNOT6,-0.01538,0.9224,0.9994,0.035080706,Not Significant
FLT4,-0.06014,0.8406,0.9994,0.075410614,Not Significant
MGAT1,-0.1644,0.4546,0.9994,0.342370569,Not Significant
ZFP62,0.2988,0.1811,0.9994,0.74208155,Not Significant
BTNL9,0.2236,0.5641,0.9994,0.2486439,Not Significant
TRIM41,0.0711,0.7047,0.9994,0.151995729,Not Significant
GNB2L1,-0.3732,0.1708,0.9994,0.767512134,Not Significant
SNORD96A,-0.5087,0.1927,0.9994,0.715118285,Not Significant
SNORD95,0.1585,0.6845,0.9994,0.164626548,Not Significant
TRIM52,0.01425,0.964,0.9994,0.015922966,Not Significant
DUSP22,-0.1567,0.5417,0.9994,0.266241164,Not Significant
IRF4,0.2873,0.4635,0.9994,0.333950262,Not Significant
EXOC2,0.1582,0.508,0.9994,0.294136288,Not Significant
HUS1B,0.2558,0.5101,0.9994,0.292344676,Not Significant
LOC100508120,-0.419,0.1558,0.9994,0.807432547,Not Significant
MYLK4,-0.5669,0.1461,0.9994,0.835349784,Not Significant
WRNIP1,0.03966,0.8559,0.9994,0.067576974,Not Significant
SERPINB1,-0.005684,0.9871,0.9994,0.005638848,Not Significant
SERPINB9,-0.6032,0.1088,0.9994,0.963371105,Not Significant
SERPINB6,-0.3512,0.2342,0.9994,0.630413109,Not Significant
DKFZP686I15217,0.03417,0.8964,0.9994,0.047498152,Not Significant
RIPK1,-0.182,0.61,0.9994,0.214670165,Not Significant
BPHL,-0.003261,0.9898,0.9994,0.004452551,Not Significant
TUBB2A,0.323,0.2004,0.9994,0.698102283,Not Significant
TUBB2B,0.04211,0.898,0.9994,0.046723663,Not Significant
PSMG4,0.05819,0.8276,0.9994,0.082179518,Not Significant
SLC22A23,0.1533,0.2819,0.9994,0.549904924,Not Significant
PXDC1,-0.115,0.473,0.9994,0.325138859,Not Significant
FAM50B,0.4701,0.2176,0.9994,0.662341109,Not Significant
PRPF4B,-0.2021,0.3672,0.9994,0.435097327,Not Significant
ECI2,-0.3071,0.1799,0.9994,0.744968837,Not Significant
CDYL,-0.1701,0.2605,0.9994,0.584192272,Not Significant
RPP40,-0.02178,0.9215,0.9994,0.03550466,Not Significant
FARS2,0.02788,0.8329,0.9994,0.079407138,Not Significant
RREB1,-0.1152,0.5692,0.9994,0.244735109,Not Significant
SSR1,-0.2012,0.2021,0.9994,0.694433686,Not Significant
SNRNP48,-0.1766,0.497,0.9994,0.303643611,Not Significant
BMP6,-0.16,0.6534,0.9994,0.18482087,Not Significant
PIP5K1P1,-0.06615,0.8187,0.9994,0.08687521,Not Significant
EEF1E1,-0.04479,0.8534,0.9994,0.068847361,Not Significant
SLC35B3,-0.1838,0.2656,0.9994,0.575771929,Not Significant
LOC100506207,0.1669,0.6509,0.9994,0.186485728,Not Significant
TFAP2A,-0.3332,0.3876,0.9994,0.411616232,Not Significant
LOC100130275,-0.1993,0.5812,0.9994,0.235674394,Not Significant
GCNT2,0.2688,0.2638,0.9994,0.578725209,Not Significant
C6orf52,0.4352,0.1669,0.9994,0.777543663,Not Significant
PAK1IP1,0.2054,0.1804,0.9994,0.743763467,Not Significant
TMEM14C,-0.01646,0.9329,0.9994,0.030164907,Not Significant
TMEM14B,0.04518,0.8947,0.9994,0.048322563,Not Significant
MAK,0.1378,0.7044,0.9994,0.152180653,Not Significant
GCM2,-0.1316,0.6824,0.9994,0.165960982,Not Significant
SYCP2L,-0.2947,0.391,0.9994,0.407823243,Not Significant
ELOVL2,-0.07248,0.7213,0.9994,0.141884068,Not Significant
LOC100506409,0.1108,0.7271,0.9994,0.138405855,Not Significant
C6orf228,0.2222,0.1893,0.9994,0.722849386,Not Significant
ERVFRD-1,-0.1285,0.7286,0.9994,0.137510833,Not Significant
TMEM170B,0.1428,0.4692,0.9994,0.328641997,Not Significant
HIVEP1,-0.05249,0.7568,0.9994,0.121018877,Not Significant
EDN1,-0.5134,0.1205,0.9994,0.919012953,Not Significant
PHACTR1,0.05475,0.8576,0.9994,0.066715228,Not Significant
LOC100130357,-0.3027,0.3478,0.9994,0.458670422,Not Significant
TBC1D7,-0.07797,0.649,0.9994,0.187755303,Not Significant
GFOD1,0.1214,0.6925,0.9994,0.159580222,Not Significant
SIRT5,0.06396,0.7204,0.9994,0.142426296,Not Significant
NOL7,0.08581,0.5759,0.9994,0.239652921,Not Significant
RANBP9,-0.1441,0.3576,0.9994,0.44660249,Not Significant
CCDC90A,-0.07612,0.6686,0.9994,0.174833628,Not Significant
RNF182,-0.1434,0.5056,0.9994,0.296192935,Not Significant
CD83,-0.1123,0.7668,0.9994,0.115317896,Not Significant
JARID2,0.09642,0.699,0.9994,0.155522824,Not Significant
DTNBP1,0.05027,0.712,0.9994,0.147520006,Not Significant
MYLIP,-0.19,0.4277,0.9994,0.36886075,Not Significant
GMPR,-0.4123,0.2909,0.9994,0.536256279,Not Significant
ATXN1,-0.05209,0.8053,0.9994,0.094042301,Not Significant
FLJ23152,0.1539,0.6927,0.9994,0.159454812,Not Significant
RBM24,-0.3396,0.1844,0.9994,0.734239083,Not Significant
CAP2,-0.1344,0.5544,0.9994,0.256176778,Not Significant
FAM8A1,0.07908,0.6562,0.9994,0.182963774,Not Significant
NUP153,0.02915,0.8274,0.9994,0.082284483,Not Significant
KIF13A,-0.1662,0.4419,0.9994,0.354675998,Not Significant
NHLRC1,0.5538,0.1579,0.9994,0.80161787,Not Significant
TPMT,0.05702,0.8426,0.9994,0.074378545,Not Significant
KDM1B,0.1415,0.337,0.9994,0.472370099,Not Significant
DEK,-0.145,0.5557,0.9994,0.255159603,Not Significant
RNF144B,-0.06825,0.8618,0.9994,0.06459351,Not Significant
ID4,0.1883,0.5062,0.9994,0.295677859,Not Significant
E2F3,-0.1538,0.3474,0.9994,0.459170186,Not Significant
CDKAL1,-0.04315,0.8097,0.9994,0.091675861,Not Significant
SOX4,0.2481,0.1102,0.9994,0.957818405,Not Significant
LINC00340,-0.3722,0.275,0.9994,0.560667306,Not Significant
LOC729177,0.2736,0.4356,0.9994,0.360912129,Not Significant
PRL,0.5199,0.184,0.9994,0.735182177,Not Significant
NRSN1,0.2417,0.5292,0.9994,0.276380164,Not Significant
DCDC2,0.1887,0.6231,0.9994,0.205442249,Not Significant
MRS2,-0.1713,0.4276,0.9994,0.368962303,Not Significant
GPLD1,0.05506,0.8057,0.9994,0.093826636,Not Significant
ALDH5A1,0.1687,0.456,0.9994,0.341035157,Not Significant
KIAA0319,0.108,0.751,0.9994,0.124360063,Not Significant
TDP2,0.03179,0.8174,0.9994,0.087565367,Not Significant
ACOT13,-0.09331,0.4989,0.9994,0.301986496,Not Significant
C6orf62,0.209,0.1624,0.9994,0.789413975,Not Significant
GMNN,-0.07791,0.8035,0.9994,0.095014119,Not Significant
LRRC16A,-0.2782,0.3841,0.9994,0.415555693,Not Significant
SCGN,-0.06189,0.8744,0.9994,0.058289851,Not Significant
HIST1H3A,-0.1609,0.6772,0.9994,0.169283051,Not Significant
HIST1H4A,-0.5797,0.1385,0.9994,0.858550227,Not Significant
HIST1H4B,-0.1969,0.5739,0.9994,0.241163775,Not Significant
HIST1H3B,-0.3727,0.3416,0.9994,0.466482138,Not Significant
HIST1H1C,-0.3949,0.2978,0.9994,0.526075307,Not Significant
HFE,-0.4453,0.2242,0.9994,0.649364392,Not Significant
HIST1H4C,0.07047,0.8368,0.9994,0.077378328,Not Significant
HIST1H2BC,-0.5722,0.1342,0.9994,0.872247484,Not Significant
HIST1H2BE,-0.1704,0.6524,0.9994,0.185486048,Not Significant
HIST1H4D,-0.04637,0.8959,0.9994,0.047740463,Not Significant
HIST1H2BF,-0.1521,0.6852,0.9994,0.164182646,Not Significant
HIST1H4E,-0.3436,0.2711,0.9994,0.566870482,Not Significant
HIST1H2AE,-0.3105,0.4278,0.9994,0.36875922,Not Significant
HIST1H3E,0.2798,0.4465,0.9994,0.350178537,Not Significant
HIST1H3F,-0.5169,0.1802,0.9994,0.744245213,Not Significant
HIST1H2BH,-0.4725,0.2173,0.9994,0.662940274,Not Significant
HIST1H3G,-0.2185,0.5444,0.9994,0.264081883,Not Significant
HIST1H2BI,-0.2476,0.5196,0.9994,0.284330858,Not Significant
HIST1H4H,-0.0723,0.85,0.9994,0.070581074,Not Significant
BTN3A2,-0.4193,0.2343,0.9994,0.630227711,Not Significant
BTN2A2,0.02566,0.94,0.9994,0.026872146,Not Significant
BTN3A1,0.2482,0.3617,0.9994,0.441651491,Not Significant
BTN2A3P,-0.3614,0.2215,0.9994,0.654626269,Not Significant
BTN3A3,-0.3053,0.3941,0.9994,0.404393565,Not Significant
BTN2A1,0.07459,0.6277,0.9994,0.202247871,Not Significant
LOC285819,-0.05631,0.882,0.9994,0.054531415,Not Significant
BTN1A1,-0.2202,0.5705,0.9994,0.243744351,Not Significant
HMGN4,-0.03514,0.8277,0.9994,0.082127045,Not Significant
ABT1,0.123,0.5001,0.9994,0.300943145,Not Significant
ZNF322,0.157,0.3812,0.9994,0.418847108,Not Significant
GUSBP2,-0.2328,0.5528,0.9994,0.257431966,Not Significant
LINC00240,-0.1788,0.6388,0.9994,0.194635093,Not Significant
LOC100270746,-0.05033,0.8828,0.9994,0.054137676,Not Significant
HIST1H2AG,-0.5393,0.1081,0.9994,0.966174306,Not Significant
HIST1H2BK,-0.03837,0.8604,0.9994,0.065299598,Not Significant
HIST1H2AH,-0.2761,0.4764,0.9994,0.322028247,Not Significant
ZNF204P,-0.2542,0.4213,0.9994,0.375408541,Not Significant
ZNF184,-0.1138,0.4413,0.9994,0.355266073,Not Significant
LOC100507173,-0.1493,0.6236,0.9994,0.205093893,Not Significant
HIST1H2BL,-0.04932,0.8964,0.9994,0.047498152,Not Significant
HIST1H2AI,0.2051,0.6003,0.9994,0.221631657,Not Significant
HIST1H3H,-0.3543,0.3615,0.9994,0.441891698,Not Significant
HIST1H2BM,-0.4948,0.185,0.9994,0.732828272,Not Significant
HIST1H2BN,0.155,0.6876,0.9994,0.162664132,Not Significant
HIST1H2AL,-0.548,0.1572,0.9994,0.803547458,Not Significant
HIST1H1B,-0.4754,0.189,0.9994,0.723538196,Not Significant
HIST1H3I,-0.1796,0.6463,0.9994,0.189565844,Not Significant
HIST1H2BO,-0.5505,0.143,0.9994,0.844663963,Not Significant
ZNF165,0.2102,0.5384,0.9994,0.268894949,Not Significant
ZSCAN12P1,0.3016,0.2364,0.9994,0.626352528,Not Significant
ZSCAN16,0.3326,0.165,0.9994,0.782516056,Not Significant
ZNF192,-0.04322,0.8754,0.9994,0.057793458,Not Significant
TOB2P1,0.2796,0.4446,0.9994,0.352030542,Not Significant
ZNF193,0.09803,0.6999,0.9994,0.154964006,Not Significant
ZKSCAN4,0.1753,0.3942,0.9994,0.40428338,Not Significant
ZNF187,0.1084,0.5508,0.9994,0.259006068,Not Significant
PGBD1,0.2714,0.1108,0.9994,0.95546024,Not Significant
ZNF323,0.1397,0.6054,0.9994,0.217957583,Not Significant
